% Moku:Pro Lock-In Amplifier
% Input A
% Input B
% Internal demodulation: 997.000 000 Hz, 174.000 000 deg
% Lowpass filter corner frequency 100 Hz (time constant 1.59 ms), slope 24 dB / octave
% Output A - I signal, +40.0 dB gain, invert off, offset 0.000 0 V, 0 dB output gain, output disabled
% Output B - Demodulation signal, amplitude 11 mVpp, offset 0.000 0 V, 0 dB output gain, output enabled
% Internal 10 MHz clock
% Acquired 2025-06-19 T 15:07:32 +0800
% Time (s), Probe A (Probe A) (V), Probe B (Probe B) (V)
-1.089568416000e+00, 9.499209e-03, 1.271206e-03
-1.087584806400e+00, 9.340226e-03, 1.312994e-03
-1.085601196800e+00, 9.175391e-03, 1.340982e-03
-1.083617587200e+00, 9.014972e-03, 1.361407e-03
-1.081633977600e+00, 8.859687e-03, 1.388622e-03
-1.079650368000e+00, 8.700317e-03, 1.409102e-03
-1.077666758400e+00, 8.545032e-03, 1.416278e-03
-1.075683148800e+00, 8.391182e-03, 1.420363e-03
-1.073699539200e+00, 8.234462e-03, 1.428367e-03
-1.071715929600e+00, 8.076804e-03, 1.443438e-03
-1.069732320000e+00, 7.925548e-03, 1.456631e-03
-1.067748710400e+00, 7.772085e-03, 1.473744e-03
-1.065765100800e+00, 7.617407e-03, 1.483680e-03
-1.063781491200e+00, 7.480450e-03, 1.481969e-03
-1.061797881600e+00, 7.340511e-03, 1.476449e-03
-1.059814272000e+00, 7.208025e-03, 1.482080e-03
-1.057830662400e+00, 7.088346e-03, 1.471812e-03
-1.055847052800e+00, 6.971923e-03, 1.459391e-03
-1.053863443200e+00, 6.856384e-03, 1.452049e-03
-1.051879833600e+00, 6.736484e-03, 1.451884e-03
-1.049896224000e+00, 6.620724e-03, 1.465077e-03
-1.047912614400e+00, 6.499113e-03, 1.469107e-03
-1.045929004800e+00, 6.392959e-03, 1.470101e-03
-1.043945395200e+00, 6.274494e-03, 1.451000e-03
-1.041961785600e+00, 6.164917e-03, 1.440236e-03
-1.039978176000e+00, 6.043747e-03, 1.419977e-03
-1.037994566400e+00, 5.934059e-03, 1.399993e-03
-1.036010956800e+00, 5.816257e-03, 1.387076e-03
-1.034027347200e+00, 5.709881e-03, 1.383488e-03
-1.032043737600e+00, 5.593404e-03, 1.379347e-03
