% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Normal mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:36:48 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.5002595520e+00, 1.0946511355e-03, 0.0000000000e+00, -2.4060239146e-03
-1.5000643328e+00, 1.0950017043e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4998691136e+00, 1.0912506180e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4996738944e+00, 1.0903741959e-03, -1.6336506938e-05, -2.4060239146e-03
-1.4994786752e+00, 1.0915661299e-03, -3.3444265277e-05, -2.4060239146e-03
-1.4992834560e+00, 1.0942304529e-03, -1.0867633371e-05, -2.4060239146e-03
-1.4990882368e+00, 1.0923724382e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4988930176e+00, 1.0957729557e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4986977984e+00, 1.0909701629e-03, -2.4539817289e-05, -2.4060239146e-03
-1.4985025792e+00, 1.0941603392e-03, -3.3444265277e-05, -2.4060239146e-03
-1.4983073600e+00, 1.0947913630e-03, -2.4539817289e-05, -2.4060239146e-03
-1.4981121408e+00, 1.0939850548e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4979169216e+00, 1.0943005667e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4977217024e+00, 1.0915310730e-03, -2.2822030079e-05, -2.4060239146e-03
-1.4975264832e+00, 1.0934942584e-03, -3.3444265277e-05, -2.4060239146e-03
-1.4973312640e+00, 1.0914960161e-03, -2.9202382574e-05, -2.4060239146e-03
-1.4971360448e+00, 1.0959131833e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4969408256e+00, 1.0906546510e-03, 0.0000000000e+00, -2.4060239146e-03
-1.4967456064e+00, 1.0921620969e-03, -1.6792246402e-05, -2.4060239146e-03
-1.4965503872e+00, 1.0934592015e-03, -3.3444265277e-05, -2.4357170935e-03
-1.4963551680e+00, 1.0954223869e-03, -3.1165567957e-05, -2.4394331230e-03
-1.4961599488e+00, 1.0946160786e-03, 0.0000000000e+00, -2.4394331230e-03
-1.4959647296e+00, 1.0946861924e-03, 0.0000000000e+00, -2.4394331230e-03
-1.4957695104e+00, 1.0921620969e-03, -9.6406425065e-06, -2.4394331230e-03
-1.4955742912e+00, 1.0922322107e-03, -3.3444265277e-05, -2.4394331230e-03
-1.4953790720e+00, 1.0912155611e-03, -3.3444265277e-05, -2.4394331230e-03
-1.4951838528e+00, 1.0886564087e-03, -2.3838679652e-06, -2.4394331230e-03
-1.4949886336e+00, 1.0905494803e-03, 0.0000000000e+00, -2.4394331230e-03
-1.4947934144e+00, 1.0951769887e-03, -7.7475708871e-06, -2.4394331230e-03
-1.4945981952e+00, 1.0888316931e-03, -3.3444265277e-05, -2.4394331230e-03
-1.4944029760e+00, 1.0933540309e-03, -3.3444265277e-05, -2.4394331230e-03
-1.4942077568e+00, 1.0901638546e-03, -1.0236609498e-05, -2.4394331230e-03
-1.4940125376e+00, 1.0913908455e-03, 0.0000000000e+00, -2.4394331230e-03
-1.4938173184e+00, 1.0950718181e-03, -5.9947267950e-06, -2.4394331230e-03
-1.4936220992e+00, 1.0947913630e-03, -3.3444265277e-05, -2.4394331230e-03
-1.4934268800e+00, 1.0941953960e-03, -3.3444265277e-05, -2.4394331230e-03
-1.4932316608e+00, 1.0909000492e-03, -1.8054294149e-05, -2.4394331230e-03
-1.4930364416e+00, 1.0911805042e-03, 0.0000000000e+00, -2.4394331230e-03
-1.4928412224e+00, 1.0948614768e-03, -5.8544992676e-06, -2.4510720077e-03
-1.4926460032e+00, 1.0921620969e-03, -3.3444265277e-05, -2.4728773882e-03
-1.4924507840e+00, 1.0932488602e-03, -3.3444265277e-05, -2.4728773882e-03
-1.4922555648e+00, 1.0914960161e-03, -3.1270738603e-05, -2.4728773882e-03
-1.4920603456e+00, 1.0916362437e-03, 0.0000000000e+00, -2.4728773882e-03
-1.4918651264e+00, 1.0930034621e-03, -1.1673941653e-05, -2.4728773882e-03
-1.4916699072e+00, 1.0943005667e-03, -3.3444265277e-05, -2.4728773882e-03
-1.4914746880e+00, 1.0933890878e-03, -3.3444265277e-05, -2.4728773882e-03
-1.4912794688e+00, 1.0922322107e-03, -3.3444265277e-05, -2.4728773882e-03
-1.4910842496e+00, 1.0933890878e-03, -2.2120892442e-05, -2.4728773882e-03
-1.4908890304e+00, 1.0921270400e-03, -2.6187490736e-05, -2.4728773882e-03
