% Moku:Pro Lock-In Amplifier
% Input A
% Input B
% Internal demodulation: 997.000 000 Hz, 174.000 000 deg
% Lowpass filter corner frequency 100 Hz (time constant 1.59 ms), slope 24 dB / octave
% Output A - I signal, +40.0 dB gain, invert off, offset 0.000 0 V, 0 dB output gain, output disabled
% Output B - Demodulation signal, amplitude 11 mVpp, offset 0.000 0 V, 0 dB output gain, output enabled
% Internal 10 MHz clock
% Acquired 2025-06-19 T 15:08:05 +0800
% Time (s), Probe A (Probe A) (V), Probe B (Probe B) (V)
-1.089568416000e+00, 9.619054e-03, -1.200657e-04
-1.087584806400e+00, 9.617232e-03, -1.146006e-04
-1.085601196800e+00, 9.615687e-03, -1.034497e-04
-1.083617587200e+00, 9.613478e-03, -1.000823e-04
-1.081633977600e+00, 9.615190e-03, -9.792942e-05
-1.079650368000e+00, 9.613313e-03, -8.677850e-05
-1.077666758400e+00, 9.612374e-03, -7.132177e-05
-1.075683148800e+00, 9.610442e-03, -5.592024e-05
-1.073699539200e+00, 9.611436e-03, -5.117281e-05
-1.071715929600e+00, 9.611822e-03, -4.968234e-05
-1.069732320000e+00, 9.609670e-03, -4.913032e-05
-1.067748710400e+00, 9.609062e-03, -4.145716e-05
-1.065765100800e+00, 9.608179e-03, -3.477764e-05
-1.063781491200e+00, 9.608897e-03, -6.083327e-05
-1.061797881600e+00, 9.606799e-03, -8.578485e-05
-1.059814272000e+00, 9.605861e-03, -1.007448e-04
-1.057830662400e+00, 9.606523e-03, -1.109572e-04
-1.055847052800e+00, 9.605529e-03, -1.142142e-04
-1.053863443200e+00, 9.605805e-03, -9.577652e-05
-1.051879833600e+00, 9.605640e-03, -7.446831e-05
-1.049896224000e+00, 9.603376e-03, -6.784400e-05
-1.047912614400e+00, 9.603211e-03, -8.401837e-05
-1.045929004800e+00, 9.604867e-03, -1.124477e-04
-1.043945395200e+00, 9.602383e-03, -1.256963e-04
-1.041961785600e+00, 9.604922e-03, -1.284013e-04
-1.039978176000e+00, 9.606026e-03, -1.281252e-04
-1.037994566400e+00, 9.602769e-03, -1.314926e-04
-1.036010956800e+00, 9.602714e-03, -1.272420e-04
-1.034027347200e+00, 9.601113e-03, -1.081419e-04
-1.032043737600e+00, 9.602880e-03, -9.257477e-05
-1.030060128000e+00, 9.603818e-03, -9.434125e-05
-1.028076518400e+00, 9.603432e-03, -9.097389e-05
-1.026092908800e+00, 9.603156e-03, -6.850643e-05
-1.024109299200e+00, 9.602438e-03, -4.714302e-05
-1.022125689600e+00, 9.603266e-03, -3.908344e-05
-1.020142080000e+00, 9.603763e-03, -4.361006e-05
-1.018158470400e+00, 9.602328e-03, -5.111761e-05
-1.016174860800e+00, 9.601334e-03, -5.895638e-05
-1.014191251200e+00, 9.602659e-03, -8.004378e-05
-1.012207641600e+00, 9.602880e-03, -9.930949e-05
-1.010224032000e+00, 9.603266e-03, -9.759821e-05
-1.008240422400e+00, 9.601886e-03, -8.953863e-05
-1.006256812800e+00, 9.604260e-03, -9.180193e-05
-1.004273203200e+00, 9.605143e-03, -1.037257e-04
-1.002289593600e+00, 9.605750e-03, -1.212249e-04
-1.000305984000e+00, 9.604591e-03, -1.281804e-04
-9.983223744000e-01, 9.607682e-03, -1.271316e-04
-9.963387648000e-01, 9.605861e-03, -1.036153e-04
-9.943551552000e-01, 9.606357e-03, -8.550884e-05
-9.923715456000e-01, 9.606302e-03, -9.003545e-05
-9.903879360000e-01, 9.608455e-03, -8.319033e-05
-9.884043264000e-01, 9.609117e-03, -7.286744e-05
-9.864207168000e-01, 9.607793e-03, -7.281224e-05
-9.844371072000e-01, 9.606744e-03, -9.025626e-05
-9.824534976000e-01, 9.607075e-03, -9.853665e-05
-9.804698880000e-01, 9.607958e-03, -9.870226e-05
-9.784862784000e-01, 9.610498e-03, -9.864706e-05
-9.765026688000e-01, 9.608234e-03, -9.616294e-05
-9.745190592000e-01, 9.606854e-03, -9.472767e-05
-9.725354496000e-01, 9.609449e-03, -9.152592e-05
-9.705518400000e-01, 9.609946e-03, -8.192067e-05
-9.685682304000e-01, 9.609835e-03, -8.368715e-05
-9.665846208000e-01, 9.609228e-03, -9.318200e-05
-9.646010112000e-01, 9.609614e-03, -9.290598e-05
-9.626174016000e-01, 9.610332e-03, -8.374235e-05
-9.606337920000e-01, 9.609559e-03, -7.292264e-05
-9.586501824000e-01, 9.610001e-03, -6.950008e-05
-9.566665728000e-01, 9.612816e-03, -7.899493e-05
-9.546829632000e-01, 9.610884e-03, -9.412044e-05
-9.526993536000e-01, 9.611822e-03, -9.765341e-05
-9.507157440000e-01, 9.612706e-03, -8.241749e-05
-9.487321344000e-01, 9.612043e-03, -8.280391e-05
-9.467485248000e-01, 9.611712e-03, -9.494848e-05
-9.447649152000e-01, 9.611436e-03, -1.053818e-04
-9.427813056000e-01, 9.610056e-03, -1.044433e-04
-9.407976960000e-01, 9.611767e-03, -9.572132e-05
-9.388140864000e-01, 9.612816e-03, -9.605253e-05
-9.368304768000e-01, 9.611546e-03, -1.025112e-04
-9.348468672000e-01, 9.612264e-03, -1.053266e-04
-9.328632576000e-01, 9.609393e-03, -1.094116e-04
-9.308796480000e-01, 9.610994e-03, -1.130549e-04
-9.288960384000e-01, 9.612816e-03, -1.250339e-04
-9.269124288000e-01, 9.611160e-03, -1.356328e-04
-9.249288192000e-01, 9.609504e-03, -1.342527e-04
-9.229452096000e-01, 9.613423e-03, -1.446308e-04
-9.209616000000e-01, 9.611105e-03, -1.561130e-04
-9.189779904000e-01, 9.613037e-03, -1.472806e-04
-9.169943808000e-01, 9.610332e-03, -1.331487e-04
-9.150107712000e-01, 9.611436e-03, -1.227706e-04
-9.130271616000e-01, 9.612319e-03, -1.147662e-04
-9.110435520000e-01, 9.611933e-03, -1.082523e-04
-9.090599424000e-01, 9.611270e-03, -1.175815e-04
-9.070763328000e-01, 9.613037e-03, -1.276836e-04
-9.050927232000e-01, 9.613423e-03, -1.227154e-04
-9.031091136000e-01, 9.613258e-03, -1.160911e-04
-9.011255040000e-01, 9.612209e-03, -1.132205e-04
-8.991418944000e-01, 9.613092e-03, -9.583172e-05
-8.971582848000e-01, 9.614196e-03, -7.154258e-05
-8.951746752000e-01, 9.614141e-03, -5.045518e-05
-8.931910656000e-01, 9.615079e-03, -4.835748e-05
-8.912074560000e-01, 9.612816e-03, -5.183525e-05
-8.892238464000e-01, 9.613699e-03, -5.233207e-05
-8.872402368000e-01, 9.615797e-03, -5.481619e-05
-8.852566272000e-01, 9.615135e-03, -6.878245e-05
-8.832730176000e-01, 9.613920e-03, -8.363195e-05
-8.812894080000e-01, 9.614638e-03, -8.749613e-05
-8.793057984000e-01, 9.617839e-03, -8.169986e-05
-8.773221888000e-01, 9.615631e-03, -7.877412e-05
-8.753385792000e-01, 9.614803e-03, -7.905013e-05
-8.733549696000e-01, 9.616680e-03, -9.213315e-05
-8.713713600000e-01, 9.618281e-03, -1.031185e-04
-8.693877504000e-01, 9.618116e-03, -1.094116e-04
-8.674041408000e-01, 9.616459e-03, -1.097980e-04
-8.654205312000e-01, 9.616570e-03, -1.079763e-04
-8.634369216000e-01, 9.617122e-03, -1.086387e-04
-8.614533120000e-01, 9.617674e-03, -1.123925e-04
-8.594697024000e-01, 9.616735e-03, -1.164223e-04
-8.574860928000e-01, 9.616294e-03, -1.217217e-04
-8.555024832000e-01, 9.617287e-03, -1.381721e-04
-8.535188736000e-01, 9.617508e-03, -1.358536e-04
-8.515352640000e-01, 9.618723e-03, -1.256963e-04
-8.495516544000e-01, 9.614307e-03, -1.152078e-04
-8.475680448000e-01, 9.617729e-03, -1.041121e-04
-8.455844352000e-01, 9.618171e-03, -1.034497e-04
-8.436008256000e-01, 9.617784e-03, -1.071483e-04
-8.416172160000e-01, 9.615963e-03, -1.030633e-04
-8.396336064000e-01, 9.617784e-03, -1.028977e-04
-8.376499968000e-01, 9.617563e-03, -1.100740e-04
-8.356663872000e-01, 9.618226e-03, -1.157599e-04
-8.336827776000e-01, 9.614031e-03, -1.059338e-04
-8.316991680000e-01, 9.613478e-03, -9.274038e-05
-8.297155584000e-01, 9.616128e-03, -9.478287e-05
-8.277319488000e-01, 9.616404e-03, -9.886787e-05
-8.257483392000e-01, 9.616791e-03, -9.820543e-05
-8.237647296000e-01, 9.615852e-03, -1.010208e-04
-8.217811200000e-01, 9.616294e-03, -1.130549e-04
-8.197975104000e-01, 9.616901e-03, -1.281804e-04
-8.178139008000e-01, 9.614141e-03, -1.175815e-04
-8.158302912000e-01, 9.614362e-03, -1.041673e-04
-8.138466816000e-01, 9.615245e-03, -1.044985e-04
-8.118630720000e-01, 9.613368e-03, -1.138830e-04
-8.098794624000e-01, 9.614583e-03, -1.153182e-04
