% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:37:12 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.5002595520e+00, 1.4267765284e-02, 1.0436433724e-04, 5.5137814330e-03
-1.5000643328e+00, 1.4265136018e-02, 2.3312826425e-05, 5.5137814330e-03
-1.4998691136e+00, 1.4271095688e-02, 1.1642390460e-04, 5.5137814330e-03
-1.4996738944e+00, 1.4271376143e-02, 2.6103354219e-04, 5.5137814330e-03
-1.4994786752e+00, 1.4273795068e-02, 2.6390820651e-04, 5.5137814330e-03
-1.4992834560e+00, 1.4269342844e-02, 1.1835203310e-04, 5.5137814330e-03
-1.4990882368e+00, 1.4265591757e-02, 1.0937747135e-05, 5.5137814330e-03
-1.4988930176e+00, 1.4269588242e-02, 8.6064644922e-05, 5.5137814330e-03
-1.4986977984e+00, 1.4269237673e-02, 2.3291792296e-04, 5.5137814330e-03
-1.4985025792e+00, 1.4273619783e-02, 2.5682671637e-04, 5.5137814330e-03
-1.4983073600e+00, 1.4268816990e-02, 1.2981563346e-04, 5.5137814330e-03
-1.4981121408e+00, 1.4269518128e-02, 9.0446755152e-06, 5.5137814330e-03
-1.4979169216e+00, 1.4265556700e-02, 5.5284702665e-05, 5.5137814330e-03
-1.4977217024e+00, 1.4267800341e-02, 2.0729134233e-04, 5.5137814330e-03
-1.4975264832e+00, 1.4271130745e-02, 2.5924564122e-04, 5.5137814330e-03
-1.4973312640e+00, 1.4270815233e-02, 1.4285679351e-04, 5.5137814330e-03
-1.4971360448e+00, 1.4264399823e-02, 1.2935989400e-05, 5.5137814330e-03
-1.4969408256e+00, 1.4269728469e-02, 3.2778184522e-05, 5.5137814330e-03
-1.4967456064e+00, 1.4271761768e-02, 1.7959640568e-04, 5.5137814330e-03
-1.4965503872e+00, 1.4274706547e-02, 2.5998183574e-04, 5.5137814330e-03
-1.4963551680e+00, 1.4277265699e-02, 1.5968409679e-04, 5.5137814330e-03
-1.4961599488e+00, 1.4271376143e-02, 1.4057809619e-05, 5.5137814330e-03
-1.4959647296e+00, 1.4268466422e-02, 1.1884282944e-05, 5.5137814330e-03
-1.4957695104e+00, 1.4270885346e-02, 1.5495141774e-04, 5.5137814330e-03
-1.4955742912e+00, 1.4267730227e-02, 2.5644109067e-04, 5.5137814330e-03
-1.4953790720e+00, 1.4270079038e-02, 1.7675679825e-04, 5.5137814330e-03
-1.4951838528e+00, 1.4261139533e-02, 2.6713343964e-05, 5.5137814330e-03
-1.4949886336e+00, 1.4263067662e-02, -4.7326790487e-06, 5.5137814330e-03
-1.4947934144e+00, 1.4260122884e-02, 1.3114779497e-04, 5.5137814330e-03
-1.4945981952e+00, 1.4268291137e-02, 2.5209403733e-04, 5.5137814330e-03
-1.4944029760e+00, 1.4269658356e-02, 1.9456569422e-04, 5.5137814330e-03
-1.4942077568e+00, 1.4270043981e-02, 4.2944680256e-05, 5.5137814330e-03
-1.4940125376e+00, 1.4269272730e-02, -1.2445193054e-05, 5.5137814330e-03
-1.4938173184e+00, 1.4272848532e-02, 1.0878150436e-04, 5.5137814330e-03
-1.4936220992e+00, 1.4276073765e-02, 2.4392578386e-04, 5.5137814330e-03
-1.4934268800e+00, 1.4280701273e-02, 2.1538948204e-04, 5.5137814330e-03
-1.4932316608e+00, 1.4275688139e-02, 6.3663297425e-05, 5.5137814330e-03
